ID,SurveyGroup,IntakeDate,ProgramParticipation,City,County,IntakeBusinessStatus,BusinessStartDate,BusinessDescription,LoanClient,Experience,ChangeExperience,MatchedNeeds,PleaseExplain2,ServicesIdeas,SupportIdeas,DEI1,DEI2,DEI3,DEI4,DEI5,DEI6,DEIDescriptionRate,OwnBusiness,HaveYouEverBeenInBusiness,StillOwn,WhyNoBusiness,NotStartDescision,PleaseExplain3,StartDecision,PleaseExplain,StartBusiness,ProductService,MonthAndYear,BusinessStartReason,MonthAndYearStop,BusinessStopReason,BusinessRestart,PivotAbility,PivotWEV,Elaborate1,ExpandBusiness,ProgramIdeas,FullTimePartTime,BizSalesIntake,GrossSales,SalesUnknownOrRefused,ProfitLoss,ProfitLossAtIntake,NetProfit,ProfitLossUnknownOrRefused,OwnersDrawAtIntake,BizIncomeUse,DrawUnknownOrRefused,DrawPrimaryIncome,JobsAtIntakebesidesOwner,FTEAmount,FTEmployeesUnknownOrRefused,PTEAmount,PTEmployeesUnknownOrRefused,FundingProgram1,FundingProgram2,FundingProgram3,FundingProgram4,FundingProgram5,FundingProgram6,FundingProgram7,FundingProgram8,FundingProgram9,Elaborate2,FundingSource1,FundingSource2,FundingSource3,Employment1,Employment2,Employment3,Employment4,Elaborate3,Household1,Household2,Household3,Household4,Household5,Household6,Household7,FinancialHealth1,FinancialHealth2,FinancialHealth3,WEVGotNews,Content,WEVGotNews2,Entrepreneur1,Entrepreneur2,Entrepreneur3,Entrepreneur4,Entrepreneur5,WrapUp,SurveyDate 
4434283,1-Year,8/29/2018,"Training, Advisory",Carpinteria,Santa Barbara,Startup (In business less than one year with sales),12/1/2017,I have been doing landscape design her and there and want got more serious about it.  Also I have done decorative interior paint and want to get that going as well as doing floral design.,No,Really helpful. Went to SET and THRIVE for two rounds with two different sponsors. Helped give her confidence and a game plan.,Can't think of anything off the top of her head.,Yes,,"Have a thing where when you do thrive you have all appointments with different experts in different fields. If WEV could have a subscription to have six things that you can use over two year period, that would be great. THRIVE was all or nothing; it was getting too much to meet with her advisor every two weeks, but she could use some advice still sometimes.",A Combination,Strongly Agree,5.0,Agree,4.0,Strongly Agree,5.0,Felt like the people who were teachers and mentors and whatever were genuinely excited about her business ideas and liked her as a person so she feels like she has friends. The camaraderie when you find someone went to WEV is amazing.,Yes,,Yes,,,,,,,"A landscape designer so residential.
Specialize in sustainable landscape, edible and native plants.
Strive to be creative.",12/2017,Flexibility,,,,Yes,Yes,She was in THRIVE and it gave her some sense that she was going work again. First mentor she had was not good and he didn't understand at all. But Michelle was really great helping her and that helped a lot,"Hired employees, Widened customer base","Personal finance, ""Commercial Real Estate (how to find an office space, etc)""",Full time,,"150,000.00",No,Profit,"3,902.00","70,000.00",No,,"70,000.00",No,,0,0,No,1,No,No,Neutral,3.0,,0.00,,0.00,,0.00,,None,,,Yes,Part-time,Employed,,,4,4,No,"33,597.00","120,000.00",No,,None,"25,000.00",No,I don't know,,No,Yes,Business Owner,Hiring,N/A,"WEV is better than SBA (or smt similar that she tried to sign up for through SBA). Do feel a bit weird because she liked that it's women-focused, but she has so many male friends. They are not that comfortable that WEV doesn't include men (I made sure to clarify that WEV does have many male clients & is gender inclusive).",,7/25/2022
8305531,1-Year,11/10/2009,"Funding, Advisory",Santa Barbara,Santa Barbara,Ongoing (In business more than one year with sales),3/1/2006,Dog Care Services,Yes,It's been great. Very quick to respond and helpful. Their process was nice and smooth.,Nothing,Yes,,"For them, she can't think of anything. WEV offers a lot they haven't utilized.",Online,Agree,4.0,Agree,4.0,Strongly Agree,5.0,They just do a very good job at supporting everyone.,Yes,,Yes,,,,,,,Small chain of dog boarding daycare facilities.,08/2007,Entrepreneurial spirit,,,,Yes,Yes,Main service they reached out for. Provided emergency financing to bridge cash shortages and that helped them maintain busuness.,"Hired employees, Opened a physical location, Widened customer base",None,Full time,,,Yes,I don't know,,,Yes,"60,000.00",,Yes,Yes,30,65,No,85,No,,,0.00,,0.00,,0.00,,0.00,,SBA PPP loan,SBA PPP loan,Don't know.,No,,Unemployed and NOT seeking employment,,,4,5,No,"108,000.00",,Yes,Lower,Created a personal budget,,Yes,I receive the newsletter and sometimes read it,Nothing.,,No,,,,,,7/26/2022
5548831,1-Year,11/9/2017,"Funding, Advisory",Santa Barbara,Santa Barbara,Ongoing (In business more than one year with sales),3/15/2014,Apparel manufacturing (clothing line),Yes,"Think that it was a great experience ; it was very helpful.
It was a while ago that he worked with WEV, but it was good, very helpful.","No, everything was really good. The only thing is that the interest rate was pretty high. Second loan that was offered, not sure if they took, was lower. First time was high where he was with credit, but he understands thats more of a finance thing.",Yes,,Can't think of any; knows WEV has a lot of services.,A Combination,Strongly Agree,5.0,Strongly Agree,5.0,Strongly Agree,5.0,"No, it was a great experience; no problems or issues. Communication and everything was great",Yes,,Yes,,,,,,,Handmade clothing brand in SB.,03/2014,"Wanted to work for myself, not others",,,,Yes,Yes,"Second loan, advisory help","Opened a physical location, Added a new product/service, Widened customer base","""Digital Marketing (online presence, Search Engine Optimization))"", Website work",Full time,"65,000.00","250,000.00",Yes,Profit,,,No,"18,400.00",,Yes,Yes,0,2,No,0,No,,,0.00,,0.00,,0.00,,0.00,,Bank Loan (SBA Lender),Bank Loan (SBA Lender),"53,000.00",No,,Unemployed and NOT seeking employment,,,5,4,No,"60,193.00",,Yes,Higher,"Paid off personal loans/credit card debt, Created a personal budget, Improved credit score",0.00,No,I receive the newsletter but rarely read it,,,No,,,,,,7/22/2022
4847599,1-Year,2/14/2017,"Grant, Training, Advisory",Ojai,Ventura,Ongoing (In business more than one year with sales),1/1/2008,I have a jewelry business where I am the owner and designer.,No,"Took the business plan SET class a few years ago and that was amazing. Had Jess as her instructor, and then signed up for monthly business consulting. It's been nothing but great.",Nope,Yes,,"Grants have been helpful 
Maybe if wev could send out more information about them, like how mastercard or facebook has been doing it. More grant information would be nice.",Online,Strongly Agree,5.0,Strongly Agree,5.0,Strongly Agree,5.0,No.,Yes,,Yes,,,,,,,Jewelry designer and sell jewelry.,01/2008,personal gratification,,,,Yes,Yes,Business advisor and her talked a lot.,"Hired employees, Opened a physical location, Added a new product/service, Widened customer base",None,Part time,"65,532.96","357,000.00",No,Profit,,"97,000.00",No,"10,200.00","55,000.00",No,,0,0,No,1,No,Yes,Strongly Disagree,1.0,Agree,4.0,Disagree,2.0,Strongly Disagree,1.0,Guessing bc she doesn't know in depth.,CA Relief grant,CA relief grant,"5,000.00",No,,Unemployed and NOT seeking employment,,,3,3,No,"71,400.00","95,000.00",No,,"Paid off personal loans/credit card debt, Created a personal budget","4,000.00",No,I receive the newsletter and always read it,Nothing; it's good. She did mention some grant information would be helpful so perhaps it is notable for the newsletter part too.,,Yes,Business Owner,Someone to run her SM,"No, not at this time","Yes, women are still need support the business world.",,7/21/2022
8983587,1-Year,2/9/2021,"Funding, Advisory",Santa Barbara,Santa Barbara,Ongoing (In business more than one year with sales),12/18/2019,"Golden Coast Burls is a manufacturer and producer of custom made, hand crafted, live-edge, luxury furniture. We are partnered with an NPO to plant trees with every purchase and it is our mission to proactively combat global deforestation and climate change.",Yes,"Been very positive.
Had a couple business advisors that were awesome - Rich Woods and David M. have both been great advisors.
Procured 2 loans from WEV and in terms of a competitive interest rate and process has been overall good experience.
A lot of back and forth for loan and arduous stuff but WEV's staff does a decent job and helping customers.
A couple people think that things get missed and you have to repeat yourself - once had to send documents twice - and that is frustrating.
Overall good though.","WEV should be more diligent about certain documents.
He is a conversationalist and phone guy and everyone wants to communicate over email these days. 
When you're trying to get money its easier to talk to ppl, so encourage staff to pick up the phone a little more.",Yes,,"No, taken full advantage of WEV services and offerings.",Online,Agree,4.0,Agree,4.0,Agree,4.0,No.,Yes,,Yes,,,,,,,"Two businesses:
Custom furniture business - 12/2019 - Golden Coast Burls
Took over cold press juicery - 12/2021 - Channel Islands Juice Company",12/2019,"Wanted to work for myself, not others",,,,Yes,Yes,Funding and advisors helped.,"Hired employees, Widened customer base",Personal finance,Full time,"45,000.00","100,000.00",No,Profit,"5,000.00","13,000.00",No,0.00,"13,000.00",No,,2,1,No,0,No,,,0.00,,0.00,,0.00,,0.00,,None,,,No,,Unemployed and NOT seeking employment,,,4,1,No,"55,000.00",,Yes,Lower,"Created a personal budget, Met with a financial coach",,Yes,I receive the newsletter and sometimes read it,Saw something about a loan that's forgivable and offered through WEV and all that info is helpful to small business owners; WEV is doing a good job.,,No,,,,,,7/21/2022
1426793,5-Year,1/12/2010,"Funding, Training, Advisory",Asheville,Not in Service Region,Ongoing (In business more than one year with sales),2/1/2005,I am a natural healthcare practitioner specializing in acupuncture and herbal medicine.,Yes,Business class a while back. Found it useful but wasn't quite ready for the information. Was useful but didn't put info to full use.,Nothing.,Yes,,Not sure what we offer now. Nothing she can answer,Not interested in future services,Strongly Agree,5.0,Strongly Agree,5.0,Strongly Agree,5.0,"No, just felt it was a positive and inclusive.",Yes,,Yes,,,,,,,Vacation rentals.,10/2018,Flexibility,,,,Yes,No,Haven't used them in a while.,None,None,Part time,"38,000.00","60,000.00",No,Profit,,"35,000.00",No,"16,978.00","35,000.00",No,,0,0,No,2,No,,,0.00,,0.00,,0.00,,0.00,,None,,,No,,Unemployed and NOT seeking employment,,,1,2,No,"19,934.00","140,000.00",No,,"Created a personal budget, Improved credit score, Met with a financial coach","50,000.00",No,I don't receive the newsletter,,Yes,Yes,Business Owner,Maybe not having to go through her husband for purchase decisions. Rather just make decisions herself.,Don't think so,"Yes, to provide information and support.",,7/21/2022
480461,5-Year,2/25/2013,"Funding, Training, Advisory",Santa Barbara,Santa Barbara,Ongoing (In business more than one year with sales),1/1/1997,"documentary films, story quilts",Yes,Recent thing she did was digital marketing program which was fantastic. Private consultation on a matter that she was involved in and the referral was wonderful.,The only thing is 6-week digital plan was not long enough. Teacher was fantastic that she wanted more.,Yes,,"In this age of social media, social media program would help ppl. Figuring out how to use them for marketing, such as TikTok.",A Combination,Strongly Agree,5.0,Strongly Agree,5.0,Strongly Agree,5.0,"No, just feel strength was diverse group of clients. Good at helping ppl where they are.",Yes,,Yes,,,,,,,"Educational entertainment company
Write children's' books and make movies.",01/1997,Creative freedom,,,,Yes,No,,None,In Depth Social Media Marketing,Part time,,"10,000.00",No,Loss,,"-30,000.00",No,"10,500.00",,Yes,No,0,0,No,0,No,,,0.00,,0.00,,0.00,,0.00,,None,,,Yes,Part-time,Unemployed and seeking employment,No,,2,2,No,"25,000.00","16,000.00",No,,"Created a personal budget, Improved credit score","5,000.00",No,I receive the newsletter and always read it,Financial literacy would be good.,,Yes,Entrepreneur,Having an assistant.,,"There's a great need for women who usually have to balance life, work and choices much more than men traditionally do. She is 65 and found it a huge challenge. Having women supporting women helps us navigate a work/life balance",,7/20/2022
1426826,5-Year,2/22/2005,"Funding, Training, Advisory",Ventura,Ventura,Startup (In business less than one year with sales),8/1/2004,Flower shop,Yes,"Wonderful. It was years ago and heard about it from a bride. Went through program and opened own flower shop, and took WEV program, and three years later got loan that changed her life. It was amazing.","THRIVE beginning was different. There was a lot happening with the fires and stuff, and on top of that if you didn't pay for the programs then you were out. That's when she left the program.",Yes,,Business items that WEV didn't touch on - audit or resources for stuff about specific businesses like CPAs - would be good. A resource center would be helpful.,A Combination,Strongly Agree,5.0,Strongly Agree,5.0,Strongly Agree,5.0,"Years ago when she participated in everything but WEV was very very supportive. Harriet was like her ""Jewish husband"" who kept her in line. WEV was not wasted money. The life coach for 10 sessions really helped her get balance in life.",No,Yes,No,,,,,,,,,Flexibility,12/2019,"Rent was too high, eating profit",I plan to start a new business,,,,,,,"11,000.00",,No,,0.00,,No,0.00,,No,,0,,No,,No,,,0.00,,0.00,,0.00,,0.00,,,,,No,,Unemployed and seeking employment,,,1,1,No,"14,760.61","22,000.00",No,,"Created a personal budget, Met with a financial coach, Participated in a financial literacy education program",0.00,No,I receive the newsletter and always read it,,,No,,,,,Love Marsha Bailey to death and love the foundation.,7/20/2022
479691,1-Year,2/22/2005,"Training, Advisory",Santa Barbara,Santa Barbara,Pre-business (No business or idea only),,Clothing designer,No,Really good; been with them for a long time. It's been good.,Nothing.,Yes,,Should have more venturing hours available instead of just 2 hours.,A Combination,Neutral,3.0,Agree,4.0,Strongly Agree,5.0,No.,Yes,,Yes,,,,,,,Women's contemporary designer brand.,11/2019,"Wanted to work for myself, not others",,,,Yes,Yes,"Business advisor played somewhat of a role, but not financial support

Did give her a little loan to do extra busness advisor hors so that","Added a new product/service, Widened customer base",None,Full time,,,Yes,I don't wish to disclose,,,Yes,,0.00,No,,0,0,No,3,No,,,0.00,,0.00,,0.00,,0.00,,SBA PPP loan,None,,No,,Unemployed and NOT seeking employment,,,1,2,No,,,Yes,I don't know,"Paid off personal loans/credit card debt, Improved credit score",0.00,No,I receive the newsletter but rarely read it,"Haven't read one in a while, can't think of anything",,No,,,,,,7/18/2022
1607742,5-Year,9/2/2013,"Training, Advisory",Goleta,Santa Barbara,Ongoing (In business more than one year with sales),1/1/2008,Local remodeling contractor owned/operated by women specializing in Kitchens and Bathrooms.,No,"Long time ago. Great experience. Did it to get a business plan. Working on understanding her company.
Class was excellent. Well explained on how to find information.",Nothing.,Yes,,Can't think of any.,Not interested in future services,Agree,4.0,Agree,4.0,Strongly Agree,5.0,"No, think that WEV has been very supportive with everybody.",Yes,,Yes,,,,,,,"All female construction and remodeling company. 
Bought into it and became full owner in 2016.",01/2008,Bought into a company,,,,Yes,No,No.,"Hired employees, Widened customer base",HR,Full time,"920,000.00","3,000,000.00",No,Profit,,"350,000.00",No,"20,000.00","340,000.00",No,,3,2,No,1,No,,,0.00,,0.00,,0.00,,0.00,,None,,,No,,Unemployed and NOT seeking employment,,,2,1,No,"197,000.00","340,000.00",No,,Met with a financial coach,,Yes,I receive the newsletter and sometimes read it,"More about HR, dealing w employees and different personalities and how to help everyone work together,",,Yes,Business Owner,Having someone else run employees.,Can't think of anything.,"Specifically, she feels like women bring a completely diff perspective to business world. Think that some women can be intimidated by men. Having WEV is good. It's less intimidating when stuff is structure for women.",,7/18/2022
8348542,1-Year,4/28/2020,"Funding, Advisory",Santa Barbara,Santa Barbara,Ongoing (In business more than one year with sales),6/1/2017,Lymphatic therapy and education,No,"She asked for money, they gave it to her. Relatively easy and the person she spoke to was very helpful. Expedited everything quickly. Did give her stipulations for the loan (business name and separate bank ac for the business). Even though she didn't want business advise, those two things were super helpful for her.",No negative experiences. Nothing.,Yes,,Can't think of any.,Online,Strongly Agree,5.0,Agree,4.0,Strongly Agree,5.0,No,Yes,,Yes,,,,,,,Hands on lymphatic therapist and helps people who have illness improve their health and others to maintain their health all through hands on touch.,06/2017,"Unique career, wanted to start business",,,,Yes,Yes,"WEV believing in her gave her a huge breath of fresh air, funding was useful.",Widened customer base,None,Part time,"40,000.00","40,000.00",No,Profit,0.00,"25,000.00",Yes,0.00,"25,000.00",No,,0,0,No,0,No,,,0.00,,0.00,,0.00,,0.00,,None,,,No,,Unemployed and NOT seeking employment,,,1,1,No,"111,000.00","110,000.00",No,,Created a personal budget,,Yes,I don't know,,No,No,,,,,,7/18/2022
8334940,1-Year,4/2/2020,"Funding, Advisory",Santa Paula,Ventura,Ongoing (In business more than one year with sales),2/1/2014,Hair salon,No,"Only experience is that during COVID, when she first got shut down, WEV was the first to post that they were doing relief loans. Applied for loan and got it, don't know what would've happened if she didn't get the loan. Always been really great and helpful. Replies and information was super prompt. They gave her a safety net and saved her.",Nothing; super helpful!,Yes,,"Would love to know more about how she can better manage her business, because she keeps growing. Very overwhelmed.",A Combination,Strongly Agree,5.0,Agree,4.0,Agree,4.0,No.,Yes,,Yes,,,,,,,"Open concept salon, mostly for hair. She, personally doesn't have employees, she rents out the space for people She specialized in 
2 location in non surgical hair replacement.",02/2014,Love for beauty,,,,No,,,"Opened a physical location, Added a new product/service, Widened customer base, Created an e-commerce website","Writing a business plan, Business accounting, Business management",Full time,"84,194.00",,Yes,I don't wish to disclose,"61,070.00",,Yes,"28,475.00",,Yes,No,2,0,No,0,No,Yes,Disagree,2.0,Disagree,2.0,Disagree,2.0,Strongly Disagree,1.0,No.,SBA PPP loan,SBA PPP loan,"PPP - 8,000 and forgiven",No,,Unemployed and NOT seeking employment,,,5,5,No,"160,000.00","155,000.00",No,,"Paid off personal loans/credit card debt, Improved credit score, Met with a financial coach",,Yes,I receive the newsletter and sometimes read it,"Tips and tricks for the red tape that surrounds things that you want to do. Ex. taking things to the city, all the licenses and laws to watch out for.",,No,,,,,,7/12/2022
8365472,1-Year,5/15/2020,"Funding, Advisory",Santa Barbara,Santa Barbara,Ongoing (In business more than one year with sales),4/1/1982,Rotary International embossed clothing,No,"It was great, and everyone was really nice. Hard to get loans with an S corporation with self employed. 
Leanne Rupal's suggestion.",Nothing.,Yes,,Things like the business training courses.,Online,Agree,4.0,Agree,4.0,Agree,4.0,No,Yes,,Yes,,,,,,,"Photography and publishing.
Not doing print clothing anymore.",04/1982,Entrepreneur,,,,No,,,None,How to pivot from a niche industry,Full time,"519,471.04","450,000.00",No,I don't know,"42,595.61",,Yes,"35,000.00","100,000.00",No,,1,0,No,1,No,Yes,Agree,4.0,Disagree,2.0,Agree,4.0,Disagree,2.0,No.,None,,,No,,Unemployed and NOT seeking employment,,,2,2,No,"250,000.00","400,000.00",No,,"Created a personal budget, Improved credit score","50,000.00",No,I receive the newsletter and sometimes read it,No.,,No,,,,,,7/11/2022
488954,1-Year,1/23/2008,"Training, Advisory",Ventura,Ventura,Ongoing (In business more than one year with sales),3/14/1988,"Fundraising and board development consulting for non-profit organizations.
Werth-It helps nonprofit organizations to raise more money in less time at lower cost.",No,"Love WEV and its terrific, she recommends it all the time","Find it hard to know who's in charge of what. She's in THRIVE, and she wrote Lisa Minyard a note asking about who to ask about enewsletter, but she never knows who she should contact.",Yes,,"Financially okay enough to retire, would like to have classes/conversations about how to plan for retirement & how to sell your business.
Her sister did the one hour presentation on SET program, but nobody called her to follow up - put a phone call to people who do that",A Combination,Strongly Agree,5.0,Strongly Agree,5.0,Strongly Agree,5.0,"She thinks WEV is terrific. 
WEV had an outdoor event and everyone could put their languages on their name tags, and she loved that. Dots for wanting to be hugged or not, and people could be masked or not masked.",Yes,,Yes,,,,,,,Consultant working with non profit organizations.,03/1988,Unable to find a job,,,,Yes,Yes,"Great about switching her to twice a month with her consultant and gave a lot of information over email, but she found it helpful passing it on,",Widened customer base,"""Help on retirement, One time review on investments and tell her if they think she's on the right course """,Full time,"70,000.00","33,000.00",No,Profit,,"33,000.00",No,"62,650.00","33,000.00",No,,0,0,No,0,No,Yes,Disagree,2.0,Neutral,3.0,Disagree,2.0,Agree,4.0,"Financially set, so she doesn't think she would qualify for a loan bc she doesn't need the $.",None,,,Yes,Full-time,Employed,,,2,2,No,"62,650.00","110,000.00",No,,Created a personal budget,"2,000.00",No,I receive the newsletter and always read it,"Open mastermind groups, she would like to see that.
When you're doing tours for the SET program, she would like to see information about that. She refers people so more information would be good. 
Not clear on what WEV is doing for classes right now, so that on the newsletter would be good.",,No,,,,,"WEV sent out notecards with quotes from a business, and she thought they were great. 
The whole league of extraordinary women, and think it's fantastic and would want to go to one of them.",7/11/2022
8340821,1-Year,4/19/2020,"Funding, Training, Advisory",Ventura,Ventura,Ongoing (In business more than one year with sales),8/1/2016,Selling vintage clothing & renting costumes & Asc.,No,"Very good, loaned money when she needed. Very helpful and gave her different classes, and is very pleased with WEV.","1 class that she couldn't get answers from her teacher, but other than that everything was good
She did ask Michelle if she knew someone w social media experience to work for her, and Michelle never got back to her.",Yes,,"Wish she could afford to keep the services for classes, but can't because of the monthly fee

Would love an employment base. If someone is looking for someone, you have candidates who are looking for a job. Like an employment agency.",A Combination,Strongly Agree,5.0,Strongly Agree,5.0,Strongly Agree,5.0,They make it so that you're able to implement some of the things she couldn't afford to before. Helped her improve business and make her dream come true.,Yes,,Yes,,,,,,,"Rent costumes to public and sell vintage clothing, online stores and on etsy and ebay.",08/2016,Used to own a theatre and people wanted to rent costumes,,,,I don't know,,,"Hired employees, Added a new product/service, Widened customer base","""Digital Marketing (online presence, Search Engine Optimization))""",Full time,"81,907.00","64,000.00",No,Loss,0.00,"-42,000.00",No,0.00,,Yes,Yes,3,0,No,3,No,Yes,Disagree,2.0,Strongly Disagree,1.0,Strongly Disagree,1.0,Strongly Disagree,1.0,"Didn't take long, and was a easy process","Bank Loan (SBA Lender), ""Personal Grant for Rent, and one for business""","""Personal Grant for Rent, and one for business""","$5,000 and $2,500",No,,Unemployed and NOT seeking employment,,,1,1,No,"22,000.00","32,000.00",No,Lower,"Created a personal budget, Improved credit score",,Yes,I receive the newsletter and sometimes read it,Only if there are more grants,,No,,,,,Store went from five days to two days because she has cancer. Her problem is finding help to work. Isn't doing as well because of her health reasons.,7/9/2022
4899225,1-Year,2/15/2017,"Training, Advisory",Santa Barbara,Santa Barbara,Startup (In business less than one year with sales),5/1/2015,Roho imports beaded leather sandals made by Kenyan artisans into the United States. Profits from the business fund women's empowerment and community development initiatives in Kenya.,No,"No business experience prior, the staff was really responsive and she developed good relationships with them.","WEV gets you to a ertain point and you have to firuree it out after that. Some of the people that they refer you to are wonderful but sometimes there might be better people to answer the questions,",Yes,,It would be great if they facilitated more mentoring between business owners in Santa Barbara.,In Person,Strongly Agree,5.0,Strongly Agree,5.0,Strongly Agree,5.0,No.,Yes,,Yes,,,,,,,Women's accessories from Kenya,05/2015,"Wanted to work for myself, not others",,,,I don't know,,,"Added a new product/service, Widened customer base","""Digital Marketing (online presence, Search Engine Optimization))"", e-commerce",Part time,"14,000.00","100,000.00",No,Profit,,"20,000.00",No,0.00,0.00,No,,2,0,No,1,No,Yes,Neutral,3.0,Agree,4.0,Neutral,3.0,Agree,4.0,No.,None,,,Yes,Part-time,Employed,,,2,2,No,"10,147.80","300,000.00",No,,Created a personal budget,,Yes,I receive the newsletter and always read it,No.,,Yes,Entrepreneur,"Market fluctuations have been tough, so want external circumstances to be more stable",What she would get from WEV isn't what she currently needs.,"Yes, but doesn't want to elaborate.",,7/8/2022
8337530,1-Year,4/15/2020,"Funding, Advisory",Simi Valley,Ventura,Ongoing (In business more than one year with sales),8/1/2018,Social media marketing,No,"Getting the funds was a very easy process/seamless. Other than that, she didn't really talk to people from the organization. Her business took a hit in covid, but suffered more in 2021. Had a hard time in business. Funds she received helped a little bit but bc she didn't take a whole loan, she has a harder time giving an opinion on WEV.","She didn't apply for a specific dollar amount and was told what she was qualified for. She wished WEV would've looked at the longevity of the business as opposed to the one year that they looked at, because at one point she was bringing in 8-10k a month, and the year they looked at the funds were lower. If she had been approved for a higher amount, things for her business could've changed. 

Furthermore, she wishes there was a verbal interview for the loan, so she could've explained more stuff that wasn't on the application.",Yes,,"Wish that there was more mentorship even with the funds, just to give professional recommendation on where the funds should go. Because it was covid, and purchasing and buying behavior was different from normal, having some professional recommendation on how to allocate the funds were helpful.",Online,Agree,4.0,Agree,4.0,Agree,4.0,No,Yes,,Yes,,,,,,,"A business coach who helps online businesses from the ground up. Help create their offers, plus marketing. Works with individual people rather than businesses, and coaches them through the process.",08/2018,To supplement my household income,,,,No,,,None,Writing a business plan,Full time,"4,000.00","15,000.00",No,I don't know,"12,000.00",,Yes,"25,000.00","3,000.00",No,,0,0,No,0,No,Yes,Disagree,2.0,Neutral,3.0,Disagree,2.0,Strongly Disagree,1.0,No.,Bank Loan (SBA Lender),Bank Loan (SBA Lender),Doesn't know/Didn't want to say,No,,Employed,No,,1,3,No,"70,000.00","96,000.00",No,,None,"10,000.00",No,I receive the newsletter but rarely read it,Don't know.,,No,,,,,,7/7/2022
5250358,1-Year,2/15/2017,"Training, Advisory",Santa Barbara,Santa Barbara,Ongoing (In business more than one year with sales),6/22/2013,"Event, Portrait, and Lifestyle Photographer",No,"It was a phenomenal experience. Loved the SET and thrive programs and beneficial in a lot of ways,",Felt like the THRIVE experience had its limitations. her advisor had specific specialties that didn't always align with your needs. Would have liked if the person was more versed and experienced in strategic marketing without being niche.,I don't know,,Love to have someone who's savvy at marketing and strategic marketing (whole marketing plan),A Combination,Strongly Agree,5.0,Strongly Agree,5.0,Strongly Agree,5.0,No.,Yes,,Yes,,,,,,,Photography business,06/2013,Wanting to run a business,,,,No,,,"Hired employees, Added a new product/service, Widened customer base","""Digital Marketing (online presence, Search Engine Optimization))"", ""Traditional Marketing (print, radio, television)"", e-commerce",Full time,"34,000.00","56,800.00",No,Profit,,"35,000.00",No,"28,440.00","28,000.00",No,,0,0,No,0,No,Yes,Disagree,2.0,Agree,4.0,Agree,4.0,Disagree,2.0,"Remember thinking the interest rate was a little high, decided not to go through with a loan",None,,,No,,Employed,No,,1,1,No,"28,440.00","28,000.00",No,,"Paid off personal loans/credit card debt, Created a personal budget, Improved credit score",0.00,No,I receive the newsletter and always read it,Nothing she can think of,,,,,,,"Her business had a rough time in 2020, was picking up last year, and is doing a lot better this year.",7/7/2022
8195900,1-Year,12/14/2019,"Funding, Advisory",Ventura,Ventura,Ongoing (In business more than one year with sales),3/1/2008,Janitorial Service,No,"Brief, got the money. Didn't have a lot of discussions with Melany. Great experience.",Nothing.,Yes,,Can't think of any.,Online,Strongly Agree,5.0,Strongly Agree,5.0,Strongly Agree,5.0,Nice being able to go to something different from a bank. Easier to deal with.,Yes,,Yes,,,,,,,"Closet cleaning, upholstery cleaning, tile cleaning",03/2017,"Wanted to work for myself, not others",,,,Yes,No,No,"Hired employees, Added a new product/service, Widened customer base",None,Full time,,"340,000.00",No,Profit,,"150,000.00",No,0.00,"115,000.00",No,,2,3,No,1,No,Yes,Strongly Disagree,1.0,Disagree,2.0,Strongly Disagree,1.0,Strongly Disagree,1.0,Interest could be better.,None,,,Yes,Part-time,Employed,,,1,2,No,"78,780.00","180,000.00",No,,"Paid off personal loans/credit card debt, Created a personal budget, Improved credit score","10,000.00",No,I receive the newsletter and always read it,Not really.,,No,,,,,,7/7/2022
8221875,1-Year,2/19/2020,"Training, Advisory",Santa Barbara,Santa Barbara,Pre-business (No business or idea only),,,No,WEV was great. Remote part was a bummer but it wasn't WEV's fault. Overall very positive.,"Wished there could have been more in person groups, but its not WEV's fault.",Yes,,Can't think of any.,In Person,Agree,4.0,Agree,4.0,Agree,4.0,"Being one of the only males, wasn't sure if it was gonna be weird. But getting the history behind it felt very inclusive, and all worries were squashed.",Yes,,No,,,,,,,,08/2020,Try his hand at something,04/2022,Low financial yield for so much work,I plan to re-start my business,,,,,,Full time,,88.00,No,I don't know,,,Yes,,0.00,No,,,0,No,0,No,,,0.00,,0.00,,0.00,,0.00,,None,,,No,,Employed,Yes,"Was a full time music teacher and then pandemic dissolved his students. When he started his business, avenues closed. Went back to music teaching again this year.",3,2,No,"23,299.12","85,000.00",No,,"Paid off personal loans/credit card debt, Created a personal budget, Improved credit score, Met with a financial coach",,Yes,I don't receive the newsletter,,No,No,,,,,,7/6/2022
